Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Top-down syntax analysis","Acta Informatica","","1","2","10.1007/BF00289517","Prof. Donald E. Knuth","1971","http://link.springer.com/article/10.1007/BF00289517","Article"
"Reference","A Practical Theory of Programming","","","","10.1007/978-1-4419-8596-5_11","Eric C. R. Hehner","1993","http://link.springer.com/chapter/10.1007/978-1-4419-8596-5_11","Chapter"
"Towards the unification of models for concurrency","CAAP '90","","","","10.1007/3-540-52590-4_47","Gian Luigi FerrariUgo Montanari","1990","http://link.springer.com/chapter/10.1007/3-540-52590-4_47","Chapter"
"Mitteilungen der Schweizer Informatik Gesellschaft · 1/2005","Informatik-Spektrum","","28","1","10.1007/s00287-004-0461-2","Präsident: Prof. Klaus Dittrich","2005","http://link.springer.com/article/10.1007/s00287-004-0461-2","Article"
"Contributions to the semantics of logic perpetual processes","Acta Informatica","","25","6","10.1007/BF00291055","Giorgio LeviCatuscia Palamidessi","1988","http://link.springer.com/article/10.1007/BF00291055","Article"
"Formal semantics of a class of high-level primitives for coordinating concurrent processes","Acta Informatica","","5","4","10.1007/BF00264564","P. E. LauerR. H. Campbell","1975","http://link.springer.com/article/10.1007/BF00264564","Article"
"A comparison of two synchronizing concepts","Acta Informatica","","1","3","10.1007/BF00288684","Brinch Per Hansen","1972","http://link.springer.com/article/10.1007/BF00288684","Article"
"On a gauntlet thrown by David Gries","Acta Informatica","","6","4","10.1007/BF00268136","Prof. Dr. Edsger W. Dijkstra","1976","http://link.springer.com/article/10.1007/BF00268136","Article"
"On grammar forms with terminal context","Acta Informatica","","6","4","10.1007/BF00268140","Prof. Dr. H. A. MaurerProf. D. Wood","1976","http://link.springer.com/article/10.1007/BF00268140","Article"
"A note on pure codes","Acta Informatica","","47","5 - 6","10.1007/s00236-010-0122-7","C. C. Huang","2010","http://link.springer.com/article/10.1007/s00236-010-0122-7","Article"
"BRNGLR: a cubic Tomita-style GLR parsing algorithm","Acta Informatica","","44","6","10.1007/s00236-007-0054-z","Elizabeth ScottAdrian JohnstoneRob Economopoulos","2007","http://link.springer.com/article/10.1007/s00236-007-0054-z","Article"
"Remarks on “some comments on concurrent readers and writers” by Reidar Conradi","Acta Informatica","","11","1","10.1007/BF00264599","Abraham SilberschatzBrian Johnson","1978","http://link.springer.com/article/10.1007/BF00264599","Article"
"Preface","Acta Informatica","","7","2","10.1007/BF00265764","Erol Gelenbe","1976","http://link.springer.com/article/10.1007/BF00265764","Article"
"Nonterminal complexity of one-sided random context grammars","Acta Informatica","","49","2","10.1007/s00236-012-0150-6","Alexander MedunaPetr Zemek","2012","http://link.springer.com/article/10.1007/s00236-012-0150-6","Article"
"An Evolutionary Approach for Sample-Based Clustering on Microarray Data","Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living","","","","10.1007/978-3-642-02481-8_148","Daniel Glez-PeñaFernando DíazJosé R. MéndezJuan M. CorchadoFlorentino Fdez-Riverola","2009","http://link.springer.com/chapter/10.1007/978-3-642-02481-8_148","Chapter"
"A decidability criterion for van Wijngaarden grammars","Acta Informatica","","5","4","10.1007/BF00264566","Prof. Dr. P. Deussen","1975","http://link.springer.com/article/10.1007/BF00264566","Article"
"Langages saturés et cônes décroissants langages et cônes bifidèles","Acta Informatica","","18","1","10.1007/BF00625281","Jeannine Leguy","1982","http://link.springer.com/article/10.1007/BF00625281","Article"
"Program proving: Jumps and functions","Acta Informatica","","1","3","10.1007/BF00288686","Dr. M. ClintProf. C. A. R. Hoare","1972","http://link.springer.com/article/10.1007/BF00288686","Article"
"Probabilistic models of computer systems","Acta Informatica","","12","4","10.1007/BF00268317","Erol Gelenbe","1979","http://link.springer.com/article/10.1007/BF00268317","Article"
"Some remarks on Boolean sums","Acta Informatica","","12","4","10.1007/BF00268321","Kurt Mehlhorn","1979","http://link.springer.com/article/10.1007/BF00268321","Article"
"The mathematical analysis of the computer system modeled as a two stage cyclic queue","Acta Informatica","","6","2","10.1007/BF00268500","W. R. Franta","1976","http://link.springer.com/article/10.1007/BF00268500","Article"
"Parallel integer sorting and simulation amongst CRCW models","Acta Informatica","","33","5","10.1007/BF03036466","Sanjeev Saxena","1996","http://link.springer.com/article/10.1007/BF03036466","Article"
"GI-Veranstaltungskalender","Informatik-Spektrum","","34","4","10.1007/s00287-011-0551-x","","2011","http://link.springer.com/article/10.1007/s00287-011-0551-x","Article"
"On the analysis of Petri nets with static priorities","Acta Informatica","","33","5","10.1007/BF03036470","Falko Bause","1996","http://link.springer.com/article/10.1007/BF03036470","Article"
"Sequentielle Analyse kontextfreier Sprachen","Acta Informatica","","4","1","10.1007/BF00288936","G. Hotz","1974","http://link.springer.com/article/10.1007/BF00288936","Article"
"A distributed operational semantics for CCS based on condition/event systems","Acta Informatica","","26","1 - 2","10.1007/BF02915446","Pierpaolo DeganoRocco De NicolaUgo Montanari","1988","http://link.springer.com/article/10.1007/BF02915446","Article"
"On a new approach to representation independent data classes","Acta Informatica","","8","4","10.1007/BF00271340","R. D. Tennent","1977","http://link.springer.com/article/10.1007/BF00271340","Article"
"Apex graph grammars and attribute grammars","Acta Informatica","","25","5","10.1007/BF00279953","Joost EngelfrietGeorge LeihGrzegorz Rozenberg","1988","http://link.springer.com/article/10.1007/BF00279953","Article"
